chid,n_tested,n_positive,S_c,ci_lower,ci_upper,raw_rate,n_mechanisms,mechanism_details,tcpl_binary_compliant,tcpl_ternary_compliant
59914.0,0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,3,"{'NEURO': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}, 'GENERAL': {'n_tested': 8, 'n_positive': 1, 'score': 0.16666666666666666}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,1
310730.0,0,0,0.38888888888888884,0.16666666666666666,0.75,0.0,3,"{'NEURO': {'n_tested': 1, 'n_positive': 1, 'score': 0.75}, 'GENERAL': {'n_tested': 8, 'n_positive': 1, 'score': 0.16666666666666666}, 'NR': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}}",1,1
37707.0,0,0,0.2362627346081184,0.08641435810512561,0.43678955453149,0.0,6,"{'GENERAL': {'n_tested': 115, 'n_positive': 3, 'score': 0.03017241379310345}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NEURO': {'n_tested': 4, 'n_positive': 3, 'score': 0.7}, 'NR': {'n_tested': 216, 'n_positive': 4, 'score': 0.020737327188940093}, 'MET': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'SR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,1
61753.0,0,0,0.20833333333333331,0.16666666666666666,0.25,0.0,2,"{'NEURO': {'n_tested': 5, 'n_positive': 1, 'score': 0.25}, 'GENERAL': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,1
380257.0,0,0,0.2222222222222222,0.16666666666666666,0.25,0.0,3,"{'NEURO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'GENERAL': {'n_tested': 8, 'n_positive': 1, 'score': 0.16666666666666666}, 'NR': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}}",1,1
377826.0,0,0,0.09848484848484847,0.04545454545454545,0.16666666666666666,0.0,3,"{'NEURO': {'n_tested': 5, 'n_positive': 0, 'score': 0.08333333333333333}, 'GENERAL': {'n_tested': 10, 'n_positive': 0, 'score': 0.045454545454545456}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",0,1
880413.0,0,0,0.24305555555555555,0.125,0.4375,0.0,3,"{'NEURO': {'n_tested': 3, 'n_positive': 0, 'score': 0.125}, 'GENERAL': {'n_tested': 7, 'n_positive': 3, 'score': 0.4375}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,1
379295.0,0,0,0.4375,0.375,0.5,0.0,3,"{'NEURO': {'n_tested': 3, 'n_positive': 1, 'score': 0.375}, 'GENERAL': {'n_tested': 7, 'n_positive': 3, 'score': 0.4375}, 'NR': {'n_tested': 2, 'n_positive': 1, 'score': 0.5}}",1,2
194615.0,0,0,0.18888888888888888,0.15,0.25,0.0,3,"{'NEURO': {'n_tested': 9, 'n_positive': 1, 'score': 0.15}, 'GENERAL': {'n_tested': 8, 'n_positive': 1, 'score': 0.16666666666666666}, 'NR': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}}",1,1
65586.0,0,0,0.14583333333333334,0.08333333333333333,0.1875,0.0,3,"{'NEURO': {'n_tested': 5, 'n_positive': 0, 'score': 0.08333333333333333}, 'GENERAL': {'n_tested': 7, 'n_positive': 1, 'score': 0.1875}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,1
382063.0,0,0,0.25925925925925924,0.25,0.2777777777777778,0.0,3,"{'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'GENERAL': {'n_tested': 8, 'n_positive': 2, 'score': 0.2777777777777778}, 'NR': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}}",1,2
379901.0,0,0,0.17708333333333334,0.09375,0.25,0.0,4,"{'NEURO': {'n_tested': 9, 'n_positive': 2, 'score': 0.25}, 'GENERAL': {'n_tested': 11, 'n_positive': 0, 'score': 0.041666666666666664}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,1
382621.0,0,0,0.2111111111111111,0.05000000000000001,0.5,0.0,3,"{'NEURO': {'n_tested': 5, 'n_positive': 0, 'score': 0.08333333333333333}, 'GENERAL': {'n_tested': 9, 'n_positive': 0, 'score': 0.05}, 'NR': {'n_tested': 2, 'n_positive': 1, 'score': 0.5}}",1,1
47578.0,0,0,0.11666666666666665,0.08333333333333333,0.16666666666666666,0.0,3,"{'NEURO': {'n_tested': 5, 'n_positive': 0, 'score': 0.08333333333333333}, 'GENERAL': {'n_tested': 4, 'n_positive': 0, 'score': 0.1}, 'SR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",0,1
174941.0,0,0,0.3833333333333333,0.15,0.75,0.0,3,"{'NEURO': {'n_tested': 5, 'n_positive': 1, 'score': 0.25}, 'GENERAL': {'n_tested': 9, 'n_positive': 1, 'score': 0.15}, 'NR': {'n_tested': 1, 'n_positive': 1, 'score': 0.75}}",1,1
204489.0,0,0,0.18333333333333335,0.05000000000000001,0.25,0.0,3,"{'NEURO': {'n_tested': 5, 'n_positive': 1, 'score': 0.25}, 'GENERAL': {'n_tested': 9, 'n_positive': 0, 'score': 0.05}, 'NR': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}}",1,1
