CAS_NORM,POD_MGKGDAY,PUBCHEM_CID,S_global,S_potency
98-01-1,6.0,7362,0.9900096900568978,2.296033109084078
98-01-1,6.0,7362,0.9900096900568978,2.296033109084078
98-01-1,6.0,7362,0.9900096900568978,2.296033109084078
136-77-6,62.5,3610,0.7941643960914131,1.662361430292845
136-77-6,62.5,3610,0.7941643960914131,1.662361430292845
136-77-6,62.5,3610,0.7941643960914131,1.662361430292845
136-77-6,62.5,3610,0.7941643960914131,1.662361430292845
143-50-0,0.05,299,0.681922312391745,1.522867090311012
143-50-0,0.05,299,0.681922312391745,1.522867090311012
5989-27-5,75.0,440917,0.9799212579486738,2.544383001642307
89-78-1,300.0,16666,0.9850384347547552,2.607214039492304
89-78-1,300.0,16666,0.9850384347547552,2.607214039492304
89-78-1,300.0,16666,0.9850384347547552,2.607214039492304
89-78-1,300.0,16666,0.9850384347547552,2.607214039492304
149-30-4,188.0,697993,0.8904085590190931,1.7793386271717948
149-30-4,188.0,697993,0.8904085590190931,1.7793386271717948
298-00-0,0.03,4130,0.9136779719076707,1.910333620379496
298-00-0,0.03,4130,0.9136779719076707,1.910333620379496
54-11-5,0.5,89594,0.9824524764607072,2.0914032493549968
54-11-5,0.5,89594,0.9824524764607072,2.0914032493549968
156-10-5,125.0,9074,0.7555603279273656,1.6951483257282325
156-10-5,125.0,9074,0.7555603279273656,1.6951483257282325
604-75-1,12.0,4616,0.9213421040548632,1.976100960739792
604-75-1,12.0,4616,0.9213421040548632,1.976100960739792
604-75-1,12.0,4616,0.9213421040548632,1.976100960739792
604-75-1,12.0,4616,0.9213421040548632,1.976100960739792
51-03-6,15.5,5794,0.9330559492513674,2.163612836861527
51-03-6,15.5,5794,0.9330559492513674,2.163612836861527
51-03-6,15.5,5794,0.9330559492513674,2.163612836861527
961-11-5,200.0,13745,0.7904005186901962,1.7725721123307216
97-77-8,15.0,3117,0.7220467304883141,2.647237708927765
97-77-8,15.0,3117,0.7220467304883141,2.647237708927765
97-77-8,15.0,3117,0.7220467304883141,2.647237708927765
97-77-8,15.0,3117,0.7220467304883141,2.647237708927765
76-03-9,4.1,6421,0.9429894789013908,2.193894394242561
76-03-9,4.1,6421,0.9429894789013908,2.193894394242561
76-03-9,4.1,6421,0.9429894789013908,2.193894394242561
96-29-7,10.0,7292,0.9893534287015976,2.422598233923848
96-29-7,10.0,7292,0.9893534287015976,2.422598233923848
98-82-8,25.0,7406,0.9346727495123852,2.149993702392624
107-07-3,60.0,34,0.9775285197679804,2.027566029988568
107-12-0,40.0,7854,0.9886495067179802,2.462042827778585
117-84-0,350.1,8346,0.9626505889049009,2.248762815812344
117-84-0,350.1,8346,0.9626505889049009,2.248762815812344
