,feature,importance
803,FP_0803,0.0002140450753484742
1734,FP_1734,0.0002138762160637777
1745,FP_1745,0.00021351485024558346
649,FP_0649,0.00021216654886677903
787,FP_0787,0.00021147933588810657
1582,FP_1582,0.00021135070604517525
1592,FP_1592,0.00021094089227504737
31,FP_0031,0.0002109180628278473
1356,FP_1356,0.00021090627216788956
1022,FP_1022,0.0002107184841622946
1554,FP_1554,0.00021043872555992626
1733,FP_1733,0.0002097688825290681
949,FP_0949,0.00020932537128503384
914,FP_0914,0.00020789427978540798
1982,FP_1982,0.00020717480259722028
677,FP_0677,0.00020598266179108673
1213,FP_1213,0.00020550791993727217
823,FP_0823,0.00020516119637592616
180,FP_0180,0.00020501359984529907
1301,FP_1301,0.00020387968365406228
1104,FP_1104,0.00020376715957465743
1273,FP_1273,0.0002035773406368137
680,FP_0680,0.00020317015095188372
361,FP_0361,0.0002031296259526504
2022,FP_2022,0.00020263138206100706
1068,FP_1068,0.00020202356562033937
1236,FP_1236,0.00020183180273607133
1024,FP_1024,0.00020108398496823156
1758,FP_1758,0.000200964604609797
1645,FP_1645,0.0002004690873586466
254,FP_0254,0.00020039029143141456
1045,FP_1045,0.00019843132999890567
1581,FP_1581,0.0001979947486142801
1416,FP_1416,0.00019763185802918644
1089,FP_1089,0.0001973418124147084
1747,FP_1747,0.00019696078783280378
1184,FP_1184,0.00019680699376602127
652,FP_0652,0.00019629131300955013
1937,FP_1937,0.00019608665949810158
398,FP_0398,0.00019574779302162015
1638,FP_1638,0.00019438654013150078
162,FP_0162,0.00019403163025572229
89,FP_0089,0.00019353896891812462
311,FP_0311,0.0001932543405528958
1567,FP_1567,0.00019297507936973834
1860,FP_1860,0.00019268673444329125
182,FP_0182,0.0001925390173186974
647,FP_0647,0.00019236526802982265
1556,FP_1556,0.0001918013812552297
1449,FP_1449,0.00019125846098833673
255,FP_0255,0.00019016563597359007
837,FP_0837,0.00018965072638066366
1075,FP_1075,0.00018960625087228729
425,FP_0425,0.00018950571398203885
1691,FP_1691,0.00018924763440388945
1129,FP_1129,0.0001873418136784986
757,FP_0757,0.00018522567879209904
547,FP_0547,0.00018491795787935097
193,FP_0193,0.00018338564874888417
1808,FP_1808,0.00018320749266179285
1270,FP_1270,0.00018300263163556382
759,FP_0759,0.00018195738014480843
453,FP_0453,0.00018191683546320828
9,FP_0009,0.00018185554256683418
394,FP_0394,0.0001816854446506805
713,FP_0713,0.00018158966769247616
751,FP_0751,0.00018137208512583738
598,FP_0598,0.00018125452969506791
226,FP_0226,0.0001804430610859939
1708,FP_1708,0.00017950348239959674
1362,FP_1362,0.00017944313938591028
1415,FP_1415,0.00017881203750604643
1260,FP_1260,0.0001776411527172365
25,FP_0025,0.00017697453369954616
1647,FP_1647,0.0001769016384920494
632,FP_0632,0.00017616013217110655
339,FP_0339,0.00017606033142192508
1760,FP_1760,0.00017605262421144775
1997,FP_1997,0.00017579437253962413
1319,FP_1319,0.00017558204354075534
1485,FP_1485,0.00017463960098820268
1920,FP_1920,0.0001739517773433144
309,FP_0309,0.00017392750622078894
1603,FP_1603,0.00017386349095298086
840,FP_0840,0.00017356761339499594
1763,FP_1763,0.00017353481591073723
14,FP_0014,0.00017346674271996335
1668,FP_1668,0.00017335621451272724
750,FP_0750,0.00017299820844163177
1312,FP_1312,0.00017262981644335942
1339,FP_1339,0.00017256682925706728
1164,FP_1164,0.00017098037316241318
373,FP_0373,0.00017095529982211088
1226,FP_1226,0.0001707482681631377
1724,FP_1724,0.0001707274020828594
1034,FP_1034,0.00017069744150886336
229,FP_0229,0.00017058339493904967
328,FP_0328,0.0001705248008339812
479,FP_0479,0.00016995941018683786
1441,FP_1441,0.00016975624375991847
5,FP_0005,0.00016956699923364535
146,FP_0146,0.00016883954010332318
1984,FP_1984,0.00016875299593592681
409,FP_0409,0.0001677067043674246
1430,FP_1430,0.00016754757090398293
406,FP_0406,0.00016696075589981368
1887,FP_1887,0.0001669499713847585
639,FP_0639,0.00016686602547739574
556,FP_0556,0.00016670090837044588
463,FP_0463,0.0001663910213772026
327,FP_0327,0.0001663326762307593
1410,FP_1410,0.0001659155359467405
1764,FP_1764,0.00016522935517165635
1220,FP_1220,0.00016405747655257998
1120,FP_1120,0.00016387301771325044
2042,FP_2042,0.00016376897209866164
771,FP_0771,0.00016336891910942463
489,FP_0489,0.000162448045472129
2034,FP_2034,0.000162267968857365
450,FP_0450,0.00016219481031209897
2019,FP_2019,0.00016156612950477998
1999,FP_1999,0.00016153094017520432
624,FP_0624,0.00016152399525619663
1110,FP_1110,0.00016129956941443024
110,FP_0110,0.0001608336844271215
936,FP_0936,0.00016032981543158013
1224,FP_1224,0.00015999280418123888
575,FP_0575,0.00015996037429832585
1693,FP_1693,0.00015948135932102245
1640,FP_1640,0.00015876817224595385
772,FP_0772,0.00015864736262487483
1597,FP_1597,0.00015860556366414696
626,FP_0626,0.00015846353566534237
284,FP_0284,0.00015813911914350237
967,FP_0967,0.0001578392852865582
282,FP_0282,0.00015738223104637397
469,FP_0469,0.00015705649284192911
564,FP_0564,0.00015698923535753434
79,FP_0079,0.00015674974883580323
908,FP_0908,0.00015667931333715942
577,FP_0577,0.00015640667838783242
1369,FP_1369,0.00015639936427946
1940,FP_1940,0.0001559372233981199
151,FP_0151,0.0001557985588076859
1558,FP_1558,0.0001553305746288108
276,FP_0276,0.00015515016592042394
1388,FP_1388,0.00015462359606284378
507,FP_0507,0.00015425300647316147
1399,FP_1399,0.00015400915074632242
975,FP_0975,0.00015395687390026784
1669,FP_1669,0.00015366111166204658
1879,FP_1879,0.00015362161664215173
446,FP_0446,0.0001536174140955921
1769,FP_1769,0.0001535688438155752
747,FP_0747,0.00015258790742000788
1671,FP_1671,0.00015249683351260874
296,FP_0296,0.00015237924175829322
1173,FP_1173,0.00015234967788716313
909,FP_0909,0.00015219343938522613
1810,FP_1810,0.00015184278378175734
301,FP_0301,0.00015156801699558821
203,FP_0203,0.00015155158953838305
461,FP_0461,0.0001513675765436712
1975,FP_1975,0.00015115728561976803
960,FP_0960,0.00015002514985473986
955,FP_0955,0.0001497644144076827
1294,FP_1294,0.00014960068917082284
1465,FP_1465,0.00014852874875634752
2030,FP_2030,0.00014845728234427177
724,FP_0724,0.00014792544102302716
890,FP_0890,0.0001474775169265595
939,FP_0939,0.00014737212791078643
1922,FP_1922,0.00014721230989430726
407,FP_0407,0.00014709386906781562
1794,FP_1794,0.00014705882971163632
464,FP_0464,0.00014672087601708174
336,FP_0336,0.00014638566990944925
1479,FP_1479,0.00014626900739345337
490,FP_0490,0.00014620535971679433
786,FP_0786,0.000146021585117553
325,FP_0325,0.00014580819162877444
