chid,n_tested,n_positive,S_c,ci_lower,ci_upper,raw_rate,n_mechanisms,mechanism_details,tcpl_binary_compliant,tcpl_ternary_compliant,S_global_raw,S_potency_raw,S_global_flipped,S_potency_flipped,S_improved,S_ensemble,tcpl_binary_improved,tcpl_ternary_improved
61881.0,0,0,0.2388888888888888,0.1666666666666666,0.3,0.0,3,"{'GENERAL': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NEURO': {'n_tested': 4, 'n_positive': 1, 'score': 0.3}}",1,1,,,,,0.2388888888888888,0.2388888888888888,1,1
51419.0,0,0,0.2083333333333333,0.125,0.25,0.0,3,"{'GENERAL': {'n_tested': 3, 'n_positive': 0, 'score': 0.125}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NEURO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}}",1,1,,,,,0.2083333333333333,0.2083333333333333,1,1
59799.0,0,0,0.3416666666666666,0.15,0.5,0.0,3,"{'NEURO': {'n_tested': 9, 'n_positive': 1, 'score': 0.15}, 'GENERAL': {'n_tested': 11, 'n_positive': 4, 'score': 0.375}, 'NR': {'n_tested': 2, 'n_positive': 1, 'score': 0.5}}",1,1,,,,,0.3416666666666666,0.3416666666666666,1,2
30030.0,0,0,0.3229166666666666,0.2083333333333333,0.4375,0.0,4,"{'NEURO': {'n_tested': 3, 'n_positive': 1, 'score': 0.375}, 'GENERAL': {'n_tested': 8, 'n_positive': 1, 'score': 0.16666666666666666}, 'NR': {'n_tested': 2, 'n_positive': 1, 'score': 0.5}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}}",1,2,,,,,0.3229166666666666,0.3229166666666666,1,2
378880.0,0,0,0.246590909090909,0.1181818181818181,0.409090909090909,0.0,4,"{'GENERAL': {'n_tested': 10, 'n_positive': 1, 'score': 0.13636363636363635}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NEURO': {'n_tested': 4, 'n_positive': 0, 'score': 0.1}, 'NR': {'n_tested': 2, 'n_positive': 1, 'score': 0.5}}",1,1,,,,,0.246590909090909,0.246590909090909,1,1
59828.0,0,0,0.1520833333333333,0.0729166666666666,0.225,0.0,4,"{'NEURO': {'n_tested': 9, 'n_positive': 1, 'score': 0.15}, 'GENERAL': {'n_tested': 11, 'n_positive': 0, 'score': 0.041666666666666664}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,1,,,,,0.1520833333333333,0.1520833333333333,1,0
62122.0,0,0,0.2454545454545454,0.1,0.5,0.0,3,"{'GENERAL': {'n_tested': 10, 'n_positive': 1, 'score': 0.13636363636363635}, 'NEURO': {'n_tested': 4, 'n_positive': 0, 'score': 0.1}, 'NR': {'n_tested': 2, 'n_positive': 1, 'score': 0.5}}",1,1,,,,,0.2454545454545454,0.2454545454545454,1,1
400587.0,0,0,0.2301136363636363,0.0852272727272727,0.40625,0.0,4,"{'GENERAL': {'n_tested': 10, 'n_positive': 0, 'score': 0.045454545454545456}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NEURO': {'n_tested': 3, 'n_positive': 0, 'score': 0.125}, 'NR': {'n_tested': 2, 'n_positive': 1, 'score': 0.5}}",1,1,,,,,0.2301136363636363,0.2301136363636363,1,1
892417.0,0,0,0.2462121212121212,0.1874999999999999,0.3011363636363636,0.0,4,"{'GENERAL': {'n_tested': 10, 'n_positive': 3, 'score': 0.3181818181818182}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NEURO': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}, 'NR': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}}",1,2,,,,,0.2462121212121212,0.2462121212121212,1,1
880134.0,0,0,0.1343434343434343,0.1,0.1666666666666666,0.0,3,"{'NEURO': {'n_tested': 4, 'n_positive': 0, 'score': 0.1}, 'GENERAL': {'n_tested': 10, 'n_positive': 1, 'score': 0.13636363636363635}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,1,,,,,0.1343434343434343,0.1343434343434343,1,0
67331.0,0,0,0.2145833333333333,0.175,0.25,0.0,4,"{'NEURO': {'n_tested': 9, 'n_positive': 1, 'score': 0.15}, 'GENERAL': {'n_tested': 11, 'n_positive': 2, 'score': 0.20833333333333334}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NR': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}}",1,2,,,,,0.2145833333333333,0.2145833333333333,1,1
190950.0,0,0,0.1729166666666666,0.09375,0.25,0.0,4,"{'NEURO': {'n_tested': 9, 'n_positive': 1, 'score': 0.15}, 'GENERAL': {'n_tested': 11, 'n_positive': 0, 'score': 0.041666666666666664}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NR': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}}",1,1,,,,,0.1729166666666666,0.1729166666666666,1,1
881157.0,0,0,0.1520833333333333,0.0729166666666666,0.225,0.0,4,"{'NEURO': {'n_tested': 9, 'n_positive': 1, 'score': 0.15}, 'GENERAL': {'n_tested': 11, 'n_positive': 0, 'score': 0.041666666666666664}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,1,,,,,0.1520833333333333,0.1520833333333333,1,0
868151.0,0,0,0.203125,0.109375,0.25,0.0,4,"{'NEURO': {'n_tested': 9, 'n_positive': 2, 'score': 0.25}, 'GENERAL': {'n_tested': 7, 'n_positive': 0, 'score': 0.0625}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NR': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}}",1,1,,,,,0.203125,0.203125,1,1
74915.0,0,0,0.1479166666666666,0.0791666666666666,0.21875,0.0,4,"{'NEURO': {'n_tested': 9, 'n_positive': 0, 'score': 0.05}, 'GENERAL': {'n_tested': 11, 'n_positive': 1, 'score': 0.125}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,1,,,,,0.1479166666666666,0.1479166666666666,1,0
276659.0,0,0,0.1757575757575757,0.1431818181818182,0.225,0.0,4,"{'NEURO': {'n_tested': 9, 'n_positive': 1, 'score': 0.15}, 'GENERAL': {'n_tested': 10, 'n_positive': 1, 'score': 0.13636363636363635}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,1,,,,,0.1757575757575757,0.1757575757575757,1,1
59921.0,0,0,0.353125,0.134375,0.625,0.0,4,"{'NEURO': {'n_tested': 7, 'n_positive': 0, 'score': 0.0625}, 'GENERAL': {'n_tested': 9, 'n_positive': 3, 'score': 0.35}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NR': {'n_tested': 1, 'n_positive': 1, 'score': 0.75}}",1,1,,,,,0.353125,0.353125,1,2
60965.0,0,0,0.3238636363636363,0.1477272727272727,0.5,0.0,4,"{'GENERAL': {'n_tested': 10, 'n_positive': 0, 'score': 0.045454545454545456}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NEURO': {'n_tested': 4, 'n_positive': 2, 'score': 0.5}, 'NR': {'n_tested': 2, 'n_positive': 1, 'score': 0.5}}",1,1,,,,,0.3238636363636363,0.3238636363636363,1,2
62599.0,0,0,0.175,0.125,0.25,0.0,3,"{'NEURO': {'n_tested': 9, 'n_positive': 1, 'score': 0.15}, 'GENERAL': {'n_tested': 11, 'n_positive': 1, 'score': 0.125}, 'NR': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}}",1,1,,,,,0.175,0.175,1,1
59834.0,0,0,0.21875,0.1874999999999999,0.25,0.0,4,"{'NEURO': {'n_tested': 9, 'n_positive': 2, 'score': 0.25}, 'GENERAL': {'n_tested': 11, 'n_positive': 2, 'score': 0.20833333333333334}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,2,,,,,0.21875,0.21875,1,1
315130.0,0,0,0.3697916666666666,0.2031249999999999,0.625,0.0,4,"{'NEURO': {'n_tested': 8, 'n_positive': 1, 'score': 0.16666666666666666}, 'GENERAL': {'n_tested': 7, 'n_positive': 2, 'score': 0.3125}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NR': {'n_tested': 1, 'n_positive': 1, 'score': 0.75}}",1,2,,,,,0.3697916666666666,0.3697916666666666,1,2
74616.0,0,0,0.1270833333333333,0.0458333333333333,0.2083333333333333,0.0,4,"{'NEURO': {'n_tested': 9, 'n_positive': 0, 'score': 0.05}, 'GENERAL': {'n_tested': 11, 'n_positive': 0, 'score': 0.041666666666666664}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,1,,,,,0.1270833333333333,0.1270833333333333,1,0
380390.0,0,0,0.171590909090909,0.0931818181818181,0.25,0.0,4,"{'NEURO': {'n_tested': 9, 'n_positive': 0, 'score': 0.05}, 'GENERAL': {'n_tested': 10, 'n_positive': 1, 'score': 0.13636363636363635}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NR': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}}",1,1,,,,,0.171590909090909,0.171590909090909,1,1
59916.0,0,0,0.15,0.05,0.25,0.0,2,"{'GENERAL': {'n_tested': 9, 'n_positive': 0, 'score': 0.05}, 'NR': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}}",1,1,,,,,0.15,0.15,1,0
395037.0,0,0,0.1632575757575757,0.1166666666666666,0.2215909090909091,0.0,4,"{'GENERAL': {'n_tested': 10, 'n_positive': 1, 'score': 0.13636363636363635}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NEURO': {'n_tested': 4, 'n_positive': 0, 'score': 0.1}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,1,,,,,0.1632575757575757,0.1632575757575757,1,0
67629.0,0,0,0.1613636363636363,0.0727272727272727,0.25,0.0,4,"{'GENERAL': {'n_tested': 10, 'n_positive': 0, 'score': 0.045454545454545456}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NEURO': {'n_tested': 4, 'n_positive': 0, 'score': 0.1}, 'NR': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}}",1,1,,,,,0.1613636363636363,0.1613636363636363,1,0
59914.0,0,0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,3,"{'NEURO': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}, 'GENERAL': {'n_tested': 8, 'n_positive': 1, 'score': 0.16666666666666666}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,1,,,,,0.1666666666666666,0.1666666666666666,1,1
310730.0,0,0,0.3888888888888888,0.1666666666666666,0.75,0.0,3,"{'NEURO': {'n_tested': 1, 'n_positive': 1, 'score': 0.75}, 'GENERAL': {'n_tested': 8, 'n_positive': 1, 'score': 0.16666666666666666}, 'NR': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}}",1,1,,,,,0.3888888888888888,0.3888888888888888,1,2
37707.0,0,0,0.2362627346081184,0.0864143581051256,0.43678955453149,0.0,6,"{'GENERAL': {'n_tested': 115, 'n_positive': 3, 'score': 0.03017241379310345}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NEURO': {'n_tested': 4, 'n_positive': 3, 'score': 0.7}, 'NR': {'n_tested': 216, 'n_positive': 4, 'score': 0.020737327188940093}, 'MET': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'SR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,1,0.999458740219212,2.275802687334094,0.000541259780788006,-1.2758026873340942,0.000541259780788006,-0.06189608855646511,0,0
61753.0,0,0,0.2083333333333333,0.1666666666666666,0.25,0.0,2,"{'NEURO': {'n_tested': 5, 'n_positive': 1, 'score': 0.25}, 'GENERAL': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,1,,,,,0.2083333333333333,0.2083333333333333,1,1
