chid,casn,dsstox_substance_id,casn_normalized,PUBCHEM_CID
21941.0,111-90-0,DTXSID2021941,111-90-0,8146.0
20582.0,91-53-2,DTXSID9020582,91-53-2,3293.0
41639.0,827-21-4,DTXSID1041639,827-21-4,
21322.0,97-77-8,DTXSID1021322,97-77-8,3117.0
41389.0,93-08-3,DTXSID2041389,93-08-3,
25502.0,78-70-6,DTXSID7025502,78-70-6,
24315.0,88671-89-0,DTXSID8024315,88671-89-0,6336.0
48189.0,1166-52-5,DTXSID0048189,1166-52-5,
40111.0,105-54-4,DTXSID6040111,105-54-4,
28665.0,68515-48-0,DTXSID5028665,68515-48-0,
20409.0,53-70-3,DTXSID9020409,53-70-3,
29874.0,49562-28-9,DTXSID2029874,49562-28-9,3339.0
20516.0,57-14-7,DTXSID1020516,57-14-7,5976.0
21885.0,107-41-5,DTXSID5021885,107-41-5,
21828.0,98-86-2,DTXSID6021828,98-86-2,
32690.0,173584-44-6,DTXSID1032690,173584-44-6,107720.0
25486.0,51-30-9,DTXSID6025486,51-30-9,5807.0
21199.0,1114-71-2,DTXSID8021199,1114-71-2,
25068.0,84-75-3,DTXSID6025068,84-75-3,6786.0
20443.0,94-80-4,DTXSID5020443,94-80-4,
23556.0,68-26-8,DTXSID3023556,68-26-8,
21218.0,117-39-5,DTXSID4021218,117-39-5,5280343.0
26446.0,77-90-7,DTXSID2026446,77-90-7,
26912.0,112-35-6,DTXSID5026912,112-35-6,
27496.0,2702-72-9,DTXSID4027496,2702-72-9,
26781.0,108-11-2,DTXSID2026781,108-11-2,
38298.0,5315-79-7,DTXSID1038298,5315-79-7,
22000.0,141-43-5,DTXSID6022000,141-43-5,700.0
26031.0,151-21-3,DTXSID1026031,151-21-3,
20332.0,77-92-9,DTXSID3020332,77-92-9,
22113.0,760-23-6,DTXSID8022113,760-23-6,
35288.0,33956-49-9,DTXSID1035288,33956-49-9,
22411.0,118-82-1,DTXSID7022411,118-82-1,
26102.0,117-08-8,DTXSID7026102,117-08-8,8326.0
29154.0,120-92-3,DTXSID3029154,120-92-3,
21185.0,53-03-2,DTXSID4021185,53-03-2,
20161.0,92-52-4,DTXSID4020161,92-52-4,7095.0
34618.0,188489-07-8,DTXSID3034618,188489-07-8,3083546.0
25895.0,101-54-2,DTXSID7025895,101-54-2,
41492.0,4468-42-2,DTXSID4041492,4468-42-2,
23877.0,90-04-0,DTXSID5023877,90-04-0,
20943.0,99-59-2,DTXSID0020943,99-59-2,7447.0
20164.0,3296-90-0,DTXSID9020164,3296-90-0,18692.0
24206.0,2212-67-1,DTXSID6024206,2212-67-1,16653.0
20805.0,89-78-1,DTXSID1020805,89-78-1,16666.0
29755.0,29387-86-8,DTXSID6029755,29387-86-8,
40112.0,106-30-9,DTXSID1040112,106-30-9,
20359.0,108-94-1,DTXSID6020359,108-94-1,7967.0
20683.0,87-68-3,DTXSID7020683,87-68-3,
24338.0,23564-05-8,DTXSID1024338,23564-05-8,3032791.0
32637.0,123312-89-0,DTXSID2032637,123312-89-0,
21409.0,76-87-9,DTXSID1021409,76-87-9,
21946.0,112-30-1,DTXSID7021946,112-30-1,
29612.0,138-86-3,DTXSID2029612,138-86-3,22311.0
25049.0,111-77-3,DTXSID3025049,111-77-3,8134.0
47276.0,194098-25-4,DTXSID2047276,194098-25-4,9839190.0
25217.0,19780-11-1,DTXSID7025217,19780-11-1,
32601.0,94361-06-5,DTXSID0032601,94361-06-5,86132.0
47347.0,155990-20-8,DTXSID8047347,155990-20-8,
34625.0,361377-29-9,DTXSID2034625,361377-29-9,
20528.0,606-20-2,DTXSID5020528,606-20-2,
21754.0,77-71-4,DTXSID5021754,77-71-4,6491.0
47708.0,NOCAS_47708,DTXSID9047708,,
20114.0,2465-27-2,DTXSID9020114,2465-27-2,
20932.0,59-67-6,DTXSID1020932,59-67-6,
21272.0,7758-19-2,DTXSID8021272,7758-19-2,23668197.0
20311.0,150-68-5,DTXSID0020311,150-68-5,8800.0
37028.0,57-09-0,DTXSID5037028,57-09-0,
47294.0,668981-02-0,DTXSID0047294,668981-02-0,9949821.0
29159.0,123-17-1,DTXSID8029159,123-17-1,
26684.0,101-86-0,DTXSID4026684,101-86-0,
29677.0,7631-86-9,DTXSID1029677,7631-86-9,24261.0
21975.0,122-39-4,DTXSID4021975,122-39-4,11487.0
29600.0,79-39-0,DTXSID8029600,79-39-0,6595.0
21928.0,111-15-9,DTXSID9021928,111-15-9,8095.0
29298.0,9004-82-4,DTXSID2029298,9004-82-4,
25122.0,1119-40-0,DTXSID3025122,1119-40-0,
27263.0,628-63-7,DTXSID1027263,628-63-7,
29157.0,122-40-7,DTXSID8029157,122-40-7,
25102.0,109-55-7,DTXSID5025102,109-55-7,
47372.0,478263-98-8,DTXSID5047372,478263-98-8,
20168.0,111-44-4,DTXSID9020168,111-44-4,
25216.0,1321-74-0,DTXSID2025216,1321-74-0,
24317.0,5902-51-2,DTXSID8024317,5902-51-2,22188.0
22377.0,57-91-0,DTXSID8022377,57-91-0,
47282.0,445295-04-5,DTXSID6047282,445295-04-5,9955578.0
37551.0,101-42-8,DTXSID7037551,101-42-8,
