Sample_CID,AtomNum,Weight,HOMO,HOMO_number,LUMO,HOMO_LUMO_Gap,ODI_HOMO_1,ODI_HOMO,ODI_LUMO,ODI_LUMO_Add1,ODI_Mean,ODI_Std,Farthest_Distance,Mol_Radius,Mol_Size_Short,Mol_Size_2,Mol_Size_L,Length_Ratio,Len_Div_Diameter,MPP,SDP,Dipole_Moment,Quadrupole_Moment,Octopole_Moment,Volume,Density,ESPmin,ESPmax,Overall_Surface_Area,Pos_Surface_Area,Neg_Surface_Area,Overall_Average,Pos_Average,Neg_Average,Overall_Variance,Nu,Pi,MPI,Nonpolar_Area,Polar_Area,ALIEmin,ALIEmax,ALIE_Ave,ALIE_Var,LEAmin,LEAmax,LEA_Ave,LEA_Var,XLogP,TPSA,Complexity,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,AtomStereoCount,DefinedAtomStereoCount,UndefinedAtomStereoCount,BondStereoCount,DefinedBondStereoCount,UndefinedBondStereoCount,CovalentUnitCount,class_x,y
35785,36,194.31367,-0.30575,54,0.057788,0.363538,32.51,21.52,26.05,19.88,24.99,4.89456331,34,5.659,6.285,9.164,11.098,0.418051004,0.980561937,0.951647,3.780497,3.608424,9.573402,55.185,1945.44293,1.1193,-50.38719,22.40506,944.48106,617.25654,327.22452,0.00098311,0.01173297,-0.01929477,0.00059517,0.11609793,0.01408309,0.39056039,68.25,31.75,10.24301,16.36204,0.50096397,0.00080614,-46.23529,-20.1562,-0.9871111,0.029438,3.1,17.1,238,0,1,3,14,2,0,2,0,0,0,1,1,2
135444498,23,152.19399,-0.31499,41,0.036925,0.351915,47.37,16.4,13.83,14.86,23.115,14.03346447,22,5.002,6.71,8.033,9.762,0.39836768,0.975809676,0.952341,4.310491,4.430037,19.224467,77.6751,1358.26662,1.2556,-51.51944,54.57076,722.04251,487.22687,234.81564,0.00293396,0.01983462,-0.0321338,0.000841,0.16970113,0.02289789,0.64856811,39.22,60.78,10.92753,16.84202,0.50890409,0.00134472,-45.92034,-19.69024,-1.0488494,0.049905,0.7,41.5,239,1,2,1,11,0,0,0,0,0,0,1,0,0
68297,26,184.23753,-0.250734,49,0.060107,0.310841,9.66,9.43,7.85,14.16,10.275,2.348728379,24,6.031,5.46,8.005,12.015,0.471546311,0.996103465,0.744957,2.918184,2.79021,13.549487,139.014,1618.40167,1.2757,-27.97954,51.52443,825.23621,371.90806,453.32816,-0.00172376,0.02021875,-0.01972527,0.00048425,0.19632449,0.01982135,0.54280366,46.89,53.11,10.76375,17.47814,0.49507327,0.0026486,-41.69483,-19.47509,-1.0595986,0.043103,2.8,38,164,2,2,2,14,0,0,0,0,0,0,1,1,19
2515,41,283.32732,-0.264205,76,0.019341,0.283546,28.33,12.26,16.24,12.98,17.4525,6.456691781,39,8.507,6.381,8.889,16.72,0.522663332,0.982720113,0.983908,3.794208,7.111101,32.507379,281.3654,2377.10892,1.3356,-56.43496,53.02407,1203.38869,736.95719,466.4315,-0.0007127,0.02150431,-0.03581534,0.00094957,0.19365111,0.02721632,0.73610165,38.56,61.44,10.71993,18.56525,0.51217219,0.00167968,-51.81061,-19.46893,-1.0854863,0.061849,1,99.6,292,3,7,8,20,1,0,1,0,0,0,1,1,1
5541,29,218.20422,-0.366736,58,0.067679,0.434415,28.2,42.82,26.42,22.85,30.0725,7.607730854,29,6.171,6.427,8.914,12.073,0.440395418,0.978204505,1.110736,3.852262,3.203593,23.088039,282.5422,1753.24071,1.3947,-37.51206,28.23032,953.84095,627.84046,326.00049,0.00314977,0.02080012,-0.03084284,0.00043401,0.16586387,0.02331431,0.65939949,28.6,71.4,12.60856,17.28102,0.53190601,0.00080774,-47.34858,-20.83917,-1.1106061,0.064252,0.2,78.9,229,0,6,8,15,0,0,0,0,0,0,1,1,1
517058,11,164.95048,-0.286022,41,-0.066386,0.219636,40.26,21.4,19.12,15.89,24.1675,9.495023368,11,3.652,6.425,6.539,6.576,0.33654043,0.900328587,0.72833,2.925391,5.437082,13.175421,42.0867,942.97622,1.9602,-50.94301,50.2369,517.83908,332.39769,185.44139,0.00518869,0.02985038,-0.03901659,0.00100296,0.23526829,0.03182209,0.90159093,24.36,75.64,9.33167,19.22252,0.5201828,0.00304611,-43.54754,-15.08835,-0.868823,0.079526,2.4,40.1,93,0,2,1,8,0,0,0,0,0,0,2,0,0
3759,30,231.25098,-0.325379,61,0.020725,0.346105,13.45,13.36,14.25,13.54,13.65,0.352207325,28,8.118,5.267,6.77,16.21,0.573866251,0.99839862,0.614674,2.661149,3.270326,34.271711,327.679,1897.02068,1.366,-68.25154,41.77419,996.70861,525.35098,471.35763,-0.00191929,0.02160099,-0.02813379,0.00081616,0.17304115,0.02483788,0.6718611,39.35,60.65,10.50619,17.99165,0.5105703,0.00201601,-48.44997,-18.5984,-1.1088858,0.062975,1.5,67.2,254,2,4,4,17,0,0,0,0,0,0,1,1,1
3516,28,198.21615,-0.285731,53,0.069333,0.355064,15,12.08,14.5,14.17,13.9375,1.112393253,25,6.118,5.741,9.299,12.173,0.447322971,0.994851259,0.705068,3.246143,2.686029,27.275279,206.349,1640.38169,1.3541,-63.64275,57.30008,859.82478,430.46493,429.35985,-0.00476006,0.02345213,-0.03304486,0.00080302,0.22331424,0.02843945,0.76851286,30.85,69.15,11.16123,17.85085,0.51149993,0.00208672,-51.52496,-19.48808,-1.1218673,0.073283,1.4,58.9,151,2,4,5,14,1,0,1,0,0,0,1,0,0
2735009,20,132.22716,-0.298548,36,0.068269,0.366818,66.01,54.69,23.99,25.11,42.45,18.34624212,20,5.262,5.12,7.117,10.512,0.462086246,0.998859749,0.740187,2.745993,8.142105,14.521319,40.1103,1259.02937,1.1769,-47.01288,60.71659,683.08424,428.82051,254.26372,0.00315026,0.03024591,-0.04254706,0.0010325,0.2049145,0.03408887,0.94762981,22.47,77.53,9.1618,17.50681,0.48986006,0.00483422,-39.30693,-13.1388,-0.8632557,0.031787,0.6,56.2,64,2,1,2,8,0,0,0,0,0,0,1,0,0
10158453,48,409.90252,-0.128496,107,0.011688,0.140184,13.33,10.17,12.25,23.41,14.79,5.104703713,45,8.396,6.971,10.494,16.123,0.480022627,0.9601596,1.056184,4.70384,11.743095,29.215984,933.8025,2941.97302,1.5613,-45.67642,42.61961,1380.37586,690.61203,689.76383,-1.45E-05,0.02780283,-0.02786606,0.00069791,0.24880454,0.02783444,0.75741323,33.85,66.15,6.21019,18.33538,0.48802943,0.00547899,-66.04938,-14.45126,-1.0578517,0.077031,2.4,74.8,555,1,6,6,27,1,0,1,0,0,0,2,1,1
19710,18,118.1313,-0.339887,32,0.080523,0.420409,43.62,38.12,27.01,10.24,29.7475,12.75324934,18,5.043,5.044,6.206,10.046,0.471731781,0.996034107,0.701519,2.624192,1.88078,12.521388,58.2372,1051.51113,1.2589,-46.34253,22.16314,606.42842,374.19933,232.22909,-0.0027075,0.01519821,-0.03155963,0.00054897,0.08921738,0.02216666,0.58405815,46.46,53.54,12.19756,17.7235,0.52328022,0.00132445,-47.24073,-20.98171,-1.0625038,0.06533,-0.1,35.5,70,0,3,4,8,0,0,0,0,0,0,1,1,5
3393,50,387.87895,-0.297522,102,0.005793,0.303315,7.79,19.33,9.15,9.18,11.3625,4.634174009,48,7.634,9.728,10.534,14.539,0.417775351,0.952253078,1.578588,6.918972,6.816562,30.788739,228.1547,3091.24448,1.4061,-51.51764,38.40405,1454.57576,911.7313,542.84446,0.00189586,0.01739799,-0.02414065,0.00068887,0.16736759,0.0194864,0.54189658,52.73,47.27,9.62787,18.59632,0.50581698,0.00186309,-62.71559,-14.84399,-1.062536,0.087054,3,35.9,540,0,4,6,27,0,0,0,0,0,0,1,1,4
